sampleID,SRA_or_FASTQ,library_layout
ERR1059552,FASTQ,paired
ERR1059553,FASTQ,paired
ERR1059554,SRA,paired
ERR1059555,SRA,paired
ERR1059556,SRA,paired
ERR1059557,SRA,paired
SRR14696999,SRA,paired
SRR14697000,SRA,paired
SRR14697001,SRA,paired
SRR14697002,SRA,paired
SRR14697003,SRA,paired
SRR14697004,SRA,paired
SRR14697006,SRA,paired
SRR14697007,SRA,paired
SRR14697008,SRA,paired
SRR14697009,SRA,paired
SRR14697010,SRA,paired
SRR14697011,SRA,paired
SRR14697012,SRA,paired
SRR14697013,SRA,paired
SRR14697014,SRA,paired
SRR14697015,SRA,paired
SRR14697017,SRA,paired
SRR14697018,SRA,paired
SRR14697019,SRA,paired
SRR14697020,SRA,paired
SRR9301839,SRA,paired
SRR9301841,SRA,paired
SRR9301842,SRA,paired
SRR9301844,SRA,paired
SRR9301845,SRA,paired
SRR9301847,SRA,paired
SRR9301848,SRA,paired
SRR9301849,SRA,paired
SRR9301850,SRA,paired
SRR9301859,SRA,paired
SRR9301860,SRA,paired
SRR5435969,SRA,paired
SRR8775072,SRA,paired
SRR3046429,SRA,paired
SRR3046438,SRA,paired
SRR3056885,SRA,paired
SRR3056886,SRA,paired
SRR3056888,SRA,paired
SRR3056889,SRA,paired
SRR519449,SRA,paired
SRR519450,SRA,paired
SRR519451,SRA,paired
SRR519452,SRA,paired
SRR519453,SRA,paired
SRR519454,SRA,paired
SRR519455,SRA,paired
SRR519456,SRA,paired
SRR520374,SRA,paired
SRR520376,SRA,paired
SRR520378,SRA,paired
SRR520379,SRA,paired
SRR520380,SRA,paired
SRR520381,SRA,paired
SRR520382,SRA,paired
SRR520384,SRA,paired
SRR520385,SRA,paired
SRR520386,SRA,paired
SRR520387,SRA,paired
SRR520388,SRA,paired
SRR6678847,SRA,paired
SRR6678848,SRA,paired
SRR6678849,SRA,paired
SRR6678850,SRA,paired
SRR6678851,SRA,paired
SRR6678852,SRA,paired
SRR6678853,SRA,paired
SRR6678854,SRA,paired
SRR6678855,SRA,paired
SRR6678856,SRA,paired
SRR6678857,SRA,paired
SRR6678858,SRA,paired
SRR6678859,SRA,paired
SRR6678860,SRA,paired
SRR6678861,SRA,paired
SRR6678862,SRA,paired
SRR6951677,SRA,paired
SRR6951678,SRA,paired
SRR6951679,SRA,paired
SRR6951680,SRA,paired
SRR6951681,SRA,paired
SRR6951682,SRA,paired
SRR6951683,SRA,paired
SRR6951684,SRA,paired
SRR6951685,SRA,paired
SRR6951686,SRA,paired
SRR6951687,SRA,paired
SRR6951688,SRA,paired
SRR6951689,SRA,paired
SRR6951690,SRA,paired
SRR6951691,SRA,paired
SRR6951692,SRA,paired
SRR6951693,SRA,paired
SRR6951694,SRA,paired
SRR6951695,SRA,paired
SRR6951696,SRA,paired
SRR6951697,SRA,paired
SRR6951698,SRA,paired
SRR6951699,SRA,paired
SRR6951700,SRA,paired
SRR8775068,SRA,paired
SRR8775069,SRA,paired
SRR8775070,SRA,paired
SRR8775071,SRA,paired
SRR8775073,SRA,paired
SRR8775074,SRA,paired
SRR8775075,SRA,paired
SRR8775076,SRA,paired
SRR17318658,SRA,long
